id,ime,vzdevek,id_kluba,id_države,država,ocena,pozicija,cena,spretnost,šibka_noga,hitrost,strel,podaje,dribling,obramba,fizika,višina,popularnost
143,C. Ronaldo dos Santos Aveiro,Cristiano Ronaldo,45,38,Portugal,94,ST,2270000,5,4,90,93,81,90,35,79,187,468
146,Giorgio Chiellini,,45,27,Italy,89,CB,69000,2,2,69,46,56,60,91,82,187,404
147,Paulo Dybala,,45,52,Argentina,89,CAM,288000,4,3,85,85,84,91,28,66,177,439
154,Douglas Costa de Souza,Douglas Costa,45,54,Brazil,86,LM,72000,5,3,95,75,81,91,43,65,172,450
155,Alex Sandro Lobo Silva,Alex Sandro,45,54,Brazil,86,LB,151000,3,3,85,65,77,81,82,83,180,473
157,Leonardo Bonucci,,45,27,Italy,86,CB,20000,2,3,61,58,69,71,87,80,190,426
158,Medhi Benatia,,45,129,Morocco,86,CB,20500,2,3,70,45,54,65,87,85,189,406
159,Miralem Pjanic,,45,8,Bosnia and Herzegovina,86,CM,19750,3,4,66,70,86,86,73,69,178,450
163,Sami Khedira,,45,21,Germany,85,CM,8900,2,4,57,76,80,78,81,83,189,455
166,Blaise Matuidi,,45,18,France,85,CDM,71000,2,2,78,68,77,79,83,83,180,468
167,Mario Mandžukic,,45,10,Croatia,84,ST,2400,3,3,70,78,71,75,66,85,190,445
168,Andrea Barzagli,,45,27,Italy,84,CB,3800,2,3,68,34,57,65,89,72,187,385
170,Juan Cuadrado,,45,56,Colombia,84,RM,6500,5,3,91,74,77,87,66,69,179,464
174,Daniele Rugani,,45,27,Italy,82,CB,800,2,3,62,39,53,64,85,75,190,378
175,Federico Bernardeschi,,45,27,Italy,82,RM,750,5,3,83,75,80,85,56,64,185,443
177,João Pedro Cavaco Cancelo,João Cancelo,45,38,Portugal,81,RB,1900,4,3,88,64,77,81,77,71,182,458
181,Mattia De Sciglio,,45,27,Italy,78,RB,600,3,5,77,46,69,75,77,74,182,418
184,Leonardo Spinazzola,,45,27,Italy,77,LM,500,4,4,80,64,70,78,75,76,186,443
185,Rodrigo Bentancur,,45,60,Uruguay,76,CM,400,4,3,70,54,71,80,70,71,187,416
187,Moise Kean,,45,27,Italy,72,ST,650,3,3,77,70,50,73,26,67,182,363
189,Marco Reus,,22,21,Germany,85,LM,39250,4,4,85,86,82,86,44,64,180,447
194,Shinji Kagawa,,22,163,Japan,83,CAM,850,4,4,68,69,78,86,54,49,175,404
195,Mario Götze,,22,21,Germany,82,CM,900,4,4,69,73,83,86,59,67,176,437
196,Axel Witsel,,22,7,Belgium,82,CM,1100,4,3,71,74,77,79,75,82,188,458
