id_lige,liga,id_kluba,klub
1,Superliga,269,Brøndby IF
1,Superliga,819,FC København
1,Superliga,820,Aalborg BK
1,Superliga,1516,FC Midtjylland
4,Belgium Pro League,229,RSC Anderlecht
4,Belgium Pro League,230,Royal Antwerp FC
4,Belgium Pro League,231,Club Brugge KV
4,Belgium Pro League,232,Standard de Liège
4,Belgium Pro League,670,Sporting Charleroi
4,Belgium Pro League,673,KRC Genk
4,Belgium Pro League,674,KAA Gent
4,Belgium Pro League,682,KV Oostende
4,Belgium Pro League,2013,KAS Eupen
4,Belgium Pro League,15005,SV Zulte-Waregem
4,Belgium Pro League,100081,KV Kortrijk
10,Eredivisie,245,Ajax
10,Eredivisie,246,Feyenoord
10,Eredivisie,247,PSV
10,Eredivisie,634,Fortuna Sittard
10,Eredivisie,650,ADO Den Haag
10,Eredivisie,1903,FC Utrecht
10,Eredivisie,1906,AZ
10,Eredivisie,1907,Willem II
10,Eredivisie,1909,Vitesse
10,Eredivisie,1913,SC Heerenveen
10,Eredivisie,1914,PEC Zwolle
10,Eredivisie,100634,Heracles Almelo
13,Premier League,1,Arsenal
13,Premier League,5,Chelsea
13,Premier League,7,Everton
13,Premier League,9,Liverpool
13,Premier League,10,Manchester City
13,Premier League,11,Manchester United
13,Premier League,13,Newcastle United
13,Premier League,17,Southampton
13,Premier League,18,Tottenham Hotspur
13,Premier League,19,West Ham United
13,Premier League,95,Leicester City
13,Premier League,110,Wolverhampton Wanderers
13,Premier League,144,Fulham
13,Premier League,1795,Watford
13,Premier League,1796,Burnley
13,Premier League,1799,Crystal Palace
13,Premier League,1808,Brighton & Hove Albion
13,Premier League,1939,Huddersfield Town
13,Premier League,1943,Bournemouth
13,Premier League,1961,Cardiff City
14,EFL Championship,2,Aston Villa
14,EFL Championship,3,Blackburn Rovers
14,EFL Championship,8,Leeds United
14,EFL Championship,12,Middlesbrough
14,EFL Championship,14,Nottingham Forest
14,EFL Championship,15,Queens Park Rangers
14,EFL Championship,88,Birmingham City
14,EFL Championship,91,Derby County
14,EFL Championship,97,Millwall
14,EFL Championship,109,West Bromwich Albion
14,EFL Championship,1792,Norwich City
14,EFL Championship,1793,Reading
14,EFL Championship,1794,Sheffield United
14,EFL Championship,1801,Preston North End
14,EFL Championship,1806,Stoke City
14,EFL Championship,1807,Sheffield Wednesday
14,EFL Championship,1925,Brentford
14,EFL Championship,1952,Hull City
14,EFL Championship,1960,Swansea City
16,Ligue 1 Conforama,59,FC Girondins de Bordeaux
16,Ligue 1 Conforama,62,En Avant de Guingamp
16,Ligue 1 Conforama,65,LOSC Lille
16,Ligue 1 Conforama,66,Olympique Lyonnais
16,Ligue 1 Conforama,69,AS Monaco Football Club SA
16,Ligue 1 Conforama,70,Montpellier Hérault SC
16,Ligue 1 Conforama,71,FC Nantes
16,Ligue 1 Conforama,72,OGC Nice
16,Ligue 1 Conforama,73,Paris Saint-Germain
16,Ligue 1 Conforama,74,Stade Rennais FC
16,Ligue 1 Conforama,76,RC Strasbourg Alsace
16,Ligue 1 Conforama,210,Stade Malherbe Caen
16,Ligue 1 Conforama,219,Olympique de Marseille
16,Ligue 1 Conforama,379,Stade de Reims
16,Ligue 1 Conforama,1530,Angers SCO
16,Ligue 1 Conforama,1809,Toulouse Football Club
16,Ligue 1 Conforama,1816,Amiens SC
16,Ligue 1 Conforama,1819,AS Saint-Étienne
16,Ligue 1 Conforama,110569,Dijon FCO
17,Domino’s Ligue 2,57,AJ Auxerre
17,Domino’s Ligue 2,64,Racing Club de Lens
17,Domino’s Ligue 2,68,Football Club de Metz
17,Domino’s Ligue 2,217,FC Lorient
17,Domino’s Ligue 2,614,Athlétic Club Ajaccio
17,Domino’s Ligue 2,1738,Havre Athletic Club
19,Bundesliga,21,FC Bayern München
19,Bundesliga,22,Borussia Dortmund
19,Bundesliga,23,Borussia Mönchengladbach
19,Bundesliga,25,Sport-Club Freiburg
19,Bundesliga,32,Bayer 04 Leverkusen
19,Bundesliga,34,FC Schalke 04
19,Bundesliga,36,VfB Stuttgart
19,Bundesliga,38,SV Werder Bremen
19,Bundesliga,166,Hertha BSC
19,Bundesliga,169,1. FSV Mainz 05
19,Bundesliga,171,1. FC Nürnberg
19,Bundesliga,175,VfL Wolfsburg
19,Bundesliga,485,Hannover 96
19,Bundesliga,1824,Eintracht Frankfurt
19,Bundesliga,10029,TSG 1899 Hoffenheim
19,Bundesliga,100409,FC Augsburg
19,Bundesliga,110636,Fortuna Düsseldorf
19,Bundesliga,112172,RB Leipzig
20,Bundesliga 2,28,Hamburger SV
20,Bundesliga 2,31,1. FC Köln
20,Bundesliga 2,159,DSC Arminia Bielefeld
20,Bundesliga 2,160,VfL Bochum 1848
20,Bundesliga 2,576,Holstein Kiel
20,Bundesliga 2,1825,MSV Duisburg
20,Bundesliga 2,1831,1. FC Union Berlin
20,Bundesliga 2,110329,FC St. Pauli
20,Bundesliga 2,110502,SV Darmstadt 98
20,Bundesliga 2,111235,1. FC Heidenheim 1846
20,Bundesliga 2,111239,FC Ingolstadt 04
31,Serie A TIM,39,Atalanta
31,Serie A TIM,44,Inter
31,Serie A TIM,45,Juventus
31,Serie A TIM,46,Lazio
31,Serie A TIM,47,Milan
